image_id,title,aspect_ratio,main_color,colors,tags,adult,aperture,camera,focal_length,google_place_id,iso,latitude,longitude,manufacturer,medical,orientation,racy,shutter_speed,software,spoof,violence,location
2888104,Smoking A Fish On A Line,0.6666666667,"[104, 86, 56]","['#000000', '#bdb76b']","['adult', 'barbecue', 'bbq', 'burn', 'burning', 'campfire', 'charcoal', 'close-up', 'coal', 'cooking', 'daylight', 'delicious', 'fire', 'firewood', 'fish', 'flame', 'food', 'grill', 'grilling', 'group', 'hanging', 'heat', 'hot', 'line', 'outdoors', 'people', 'seafood', 'smoke', 'smoking', 'warm', 'wood']",very_unlikely,1.0,X-T10,50.0,,1600.0,,,FUJIFILM,very_unlikely,1.0,unlikely,,Adobe Photoshop Lightroom 6.0 (Macintosh),unlikely,very_unlikely,
1808182,White and Brown Cat Plush Toy,0.6666666667,"[162, 156, 144]","['#000000', '#2f4f4f', '#8b4513', '#a0522d', '#c0c0c0']","['arms', 'bed', 'close-up', 'fashion', 'film', 'furniture', 'hands', 'indoors', 'man', 'memories', 'person', 'photos', 'pictures', 'room', 'wear']",unlikely,1.8,NIKON D5500,35.0,,500.0,,,NIKON CORPORATION,very_unlikely,1.0,possible,,Adobe Photoshop CC 2018 (Windows),very_unlikely,very_unlikely,
1268498,Man Sitting on Sand,0.6666666667,"[188, 184, 189]","['#2f4f4f', '#d3d3d3']","['adult', 'adventure', 'beach', 'black', 'enjoyment', 'eyeglasses', 'eyewear', 'fashion', 'fine looking', 'glasses', 'leisure', 'man', 'outdoors', 'portrait', 'pose', 'recreation', 'relax', 'relaxation', 'sitting', 'view']",very_unlikely,1.8,Canon EOS 1100D,50.0,,100.0,,,Canon,very_unlikely,0.0,unlikely,,Adobe Photoshop Lightroom Classic 7.0 (Windows),very_unlikely,very_unlikely,
1303477,Sparkling Bonfire,1.3333333333,"[51, 28, 9]","['#000000', '#556b2f', '#8b0000', '#8b4513', '#b8860b', '#ff8c00', '#ffefd5']","['blaze', 'blazing', 'burn', 'burning', 'burning flame', 'burnt', 'charcoal', 'close-up', 'danger', 'dark', 'embers', 'fire', 'fire background', 'fire wallpaper', 'fireplace', 'firewood', 'flame', 'flames', 'flaming', 'flammable', 'heat', 'hot', 'ignite', 'inferno', 'outdoors', 'red', 'warm', 'warmly', 'warmth', 'wildfire', 'wood']",very_unlikely,1.5,SM-G960F,4.3,,640.0,,,samsung,very_unlikely,0.0,very_unlikely,,Adobe Photoshop Lightroom Classic 7.3.1 (Windows),very_unlikely,very_unlikely,
1990360,Woman Lying on Bed,0.6666666667,"[147, 118, 97]","['#000000', '#a0522d', '#e9967a', '#faf0e6']","['beautiful', 'beauty', 'bed', 'bedroom', 'facial expression', 'female', 'hair', 'hairstyle', 'home', 'indoors', 'leisure', 'model', 'person', 'photoshoot', 'portrait', 'pose', 'pretty', 'reclining', 'relax', 'relaxation', 'room', 'tattoo', 'wear', 'woman']",unlikely,2.8,Canon EOS R,35.0,,1600.0,,,Canon,very_unlikely,0.0,unlikely,,Adobe Photoshop Lightroom Classic 8.2 (Windows),very_unlikely,very_unlikely,
1108193,Laughing Baby Wearing White Shirt,1.3630593462,"[218, 214, 213]",['#f5f5f5'],"['baby', 'bed', 'bedroom', 'boy', 'child', 'close-up', 'cute baby', 'eyes', 'face', 'facial expression', 'furniture', 'happy', 'indoors', 'infant', 'innocence', 'kid', 'little', 'person', 'room', 'son', 'throw pillows', 'young']",unlikely,2.8,NIKON D5,35.0,ChIJ6YsdRXreyIkRAtfdWuDlPHc,125.0,40.1044709,-76.999871,NIKON CORPORATION,very_unlikely,0.0,possible,,Adobe Photoshop Lightroom Classic 7.1 (Macintosh),very_unlikely,very_unlikely,"Dillsburg, PA, United States"
1034584,Photography of Bedroom,0.7400793651,"[174, 169, 167]","['#000000', '#808080', '#8b4513', '#c0c0c0']","['apartment', 'bed', 'bedding', 'bedroom', 'bedroom background', 'bedroom wallpaper', 'comfort', 'contemporary', 'cushion', 'decoration', 'design', 'family', 'furniture', 'house', 'indoors', 'inside', 'interior', 'interior design', 'lamp', 'messy', 'modern', 'pillows', 'residential', 'room', 'trading floor']",very_unlikely,2.4,iPhone X,6.0,,80.0,,,Apple,very_unlikely,0.0,very_unlikely,,VSCO,very_unlikely,very_unlikely,
2202899,Woman Sitting While Wearing Black Framed Eyeglasses,1.0605884066,"[70, 56, 48]","['#000000', '#a0522d', '#d2b48c']","['beautiful', 'book', 'cozy', 'eyewear', 'knowledge', 'learning', 'reading', 'reading glasses', 'woman']",very_unlikely,1.8,,50.0,,100.0,,,,very_unlikely,0.0,unlikely,,,very_unlikely,very_unlikely,
1591736,Woman in Black Monokini,0.9906716418,"[15, 10, 10]","['#000000', '#696969']","['art', 'black background', 'costume', 'creepy', 'culture', 'dark', 'eerie', 'erotic', 'fantasy', 'fashion', 'girl', 'glamour', 'halloween', 'horror', 'hot', 'makeup', 'model', 'nude', 'person', 'portrait', 'scary', 'sexy', 'woman']",unlikely,5.6,NIKON D90,35.0,,100.0,,,NIKON CORPORATION,very_unlikely,1.0,likely,,Adobe Photoshop CC 2015 (Windows),very_unlikely,very_unlikely,
1367179,Silhouette Of Trees Under Blue Sky,0.6666666667,"[140, 160, 166]","['#000000', '#a9a9a9']","['air', 'atmosphere', 'blue', 'blue sky', 'cloudiness', 'clouds', 'clouds form', 'clouds in the sky', 'cloudscape', 'cloudy', 'cloudy sky', 'cumulus', 'day', 'daylight', 'downy', 'dreamy', 'fluffy', 'heaven', 'meteorology', 'mobile wallpaper 4k', 'outdoors', 'oxygen', 'pattern', 'puffy', 'scenery', 'scenic', 'season', 'sky', 'sky background', 'sky wallpaper', 'skyscape', 'stratosphere', 'texture', 'weather', 'white', 'white clouds']",very_unlikely,11.0,Canon EOS 6D,85.0,,125.0,,,Canon,very_unlikely,1.0,very_unlikely,,Adobe Photoshop CC 2018 (Windows),very_unlikely,very_unlikely,
1910231,Pink and Blue Light Illustration,0.6666666667,"[63, 22, 42]","['#000000', '#00bfff', '#4682b4', '#800000', '#800080', '#b22222', '#db7093']","['abstract', 'art', 'artistic', 'blur', 'bright', 'dark', 'design', 'dynamic', 'energy', 'fantasy', 'fantasy background', 'futuristic', 'graphic design', 'insubstantial', 'light', 'light painting', 'light streaks', 'long exposure', 'smooth', 'surreal']",very_unlikely,3.5,Canon EOS Rebel T6,18.0,,400.0,,,Canon,very_unlikely,0.0,unlikely,,Adobe Photoshop Lightroom Classic 8.1 (Windows),very_unlikely,very_unlikely,
2700332,Men's Black and Gray Collared Top,0.800170068,"[76, 109, 128]","['#000000', '#87cefa', '#add8e6']","['adult', 'artistic', 'artwork', 'close-up', 'concept', 'conceptual', 'creative', 'creativity', 'design', 'edit', 'face', 'facial expression', 'facial hair', 'fantasy', 'fashion', 'guy', 'head', 'imagination', 'indoors', 'inside', 'looking', 'male', 'man', 'model', 'outfit', 'person', 'photoshoot', 'portrait', 'shattered', 'shattered glass effect', 'side view', 'window']",very_unlikely,2.0,Canon EOS 6D,50.0,,400.0,,,Canon,very_unlikely,1.0,unlikely,,Adobe Photoshop CS6 (Macintosh),very_unlikely,very_unlikely,
